query_id,none_hit@10,none_rr@10,none_ndcg@10,compressed_hit@10,compressed_rr@10,compressed_ndcg@10,run_name,M,Compression,delta_hit@10,delta_rr@10,delta_ndcg@10,quantization_sensitivity_type
q015,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q016,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q017,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q018,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q019,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q020,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q011,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q012,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q013,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q014,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q015,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q016,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q017,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
